,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
818,Nifty 100,NIFTY 100,2019-12-18,12280.05,12319.2,12240.75,12304.25
819,Nifty 100,NIFTY 100,2019-12-17,12173.4,12266.15,12160.9,12248.95
820,Nifty 100,NIFTY 100,2019-12-16,12222.85,12226.0,12137.4,12144.85
821,Nifty 100,NIFTY 100,2019-12-13,12120.15,12194.6,12118.25,12182.7
822,Nifty 100,NIFTY 100,2019-12-12,12037.95,12099.05,12026.4,12065.85
823,Nifty 100,NIFTY 100,2019-12-11,11957.75,12013.3,11918.95,11999.95
824,Nifty 100,NIFTY 100,2019-12-10,12046.4,12049.35,11935.0,11945.8
825,Nifty 100,NIFTY 100,2019-12-09,12041.25,12082.25,11987.3,12033.3
826,Nifty 100,NIFTY 100,2019-12-06,12156.15,12166.05,11990.3,12024.95
827,Nifty 100,NIFTY 100,2019-12-05,12183.9,12190.8,12106.9,12126.5
828,Nifty 100,NIFTY 100,2019-12-04,12089.25,12172.05,12057.65,12160.85
829,Nifty 100,NIFTY 100,2019-12-03,12196.15,12196.9,12079.15,12115.8
830,Nifty 100,NIFTY 100,2019-12-02,12255.4,12255.5,12147.7,12175.15
831,Nifty 100,NIFTY 100,2019-11-29,12275.95,12277.3,12145.6,12182.6
832,Nifty 100,NIFTY 100,2019-11-28,12246.75,12286.6,12216.35,12278.45
833,Nifty 100,NIFTY 100,2019-11-27,12183.0,12230.6,12172.0,12217.5
834,Nifty 100,NIFTY 100,2019-11-26,12230.95,12255.15,12117.6,12150.7
835,Nifty 100,NIFTY 100,2019-11-25,12039.95,12203.15,12037.3,12192.65
836,Nifty 100,NIFTY 100,2019-11-22,12083.2,12083.95,11999.5,12031.2
837,Nifty 100,NIFTY 100,2019-11-21,12146.05,12148.25,12070.9,12082.7
838,Nifty 100,NIFTY 100,2019-11-20,12117.35,12156.35,12083.8,12116.2
839,Nifty 100,NIFTY 100,2019-11-19,12041.4,12071.95,12000.85,12054.7
840,Nifty 100,NIFTY 100,2019-11-18,12043.9,12071.35,11995.2,12010.9
841,Nifty 100,NIFTY 100,2019-11-15,12034.55,12096.1,12008.55,12022.8
842,Nifty 100,NIFTY 100,2019-11-14,11998.1,12029.45,11935.85,12001.1
843,Nifty 100,NIFTY 100,2019-11-13,12053.65,12099.0,11961.75,11980.65
844,Nifty 100,NIFTY 100,2019-11-11,12015.9,12071.05,12000.5,12053.3
845,Nifty 100,NIFTY 100,2019-11-08,12133.05,12173.95,12026.4,12044.85
846,Nifty 100,NIFTY 100,2019-11-07,12160.25,12161.6,12090.35,12152.95
847,Nifty 100,NIFTY 100,2019-11-06,12051.6,12139.6,11991.05,12104.2
848,Nifty 100,NIFTY 100,2019-11-05,12119.35,12123.8,12004.15,12056.15
849,Nifty 100,NIFTY 100,2019-11-04,12084.15,12140.6,12056.35,12089.15
850,Nifty 100,NIFTY 100,2019-11-01,12049.25,12082.05,12011.6,12047.8
851,Nifty 100,NIFTY 100,2019-10-31,12050.35,12099.1,12014.35,12037.25
852,Nifty 100,NIFTY 100,2019-10-30,12033.4,12038.1,11943.1,12002.95
853,Nifty 100,NIFTY 100,2019-10-29,11796.4,11961.75,11779.75,11942.05
854,Nifty 100,NIFTY 100,2019-10-27,11814.1,11824.8,11761.0,11782.5
